franchise,releases,totalGross,titles,original
Austin Powers,3,473231964,Austin Powers in Goldmember > 07-26-2002 | Austin Powers: The Spy Who Shagged Me > 06-09-1999 | Austin Powers: International Man of Mystery > 05-02-1997,Austin Powers: International Man of Mystery > 05-02-1997
A Quiet Place,3,487027175,A Quiet Place > 04-06-2018 | A Quiet Place Part II > 05-28-2021 | A Quiet Place: Day One > 06-28-2024,A Quiet Place > 04-06-2018
Hotel Transylvania,3,485523174,Hotel Transylvania 2 > 09-25-2015 | Hotel Transylvania 3: Summer Vacation > 07-13-2018 | Hotel Transylvania > 09-28-2012,Hotel Transylvania > 09-28-2012
John Wick,4,493214512,John Wick: Chapter 4 > 03-24-2023 | John Wick: Chapter 3 - Parabellum > 05-17-2019 | John Wick: Chapter 2 > 02-10-2017 | John Wick > 10-24-2014,John Wick > 10-24-2014
Home Alone,3,490229274,Home Alone > 11-16-1990 | Home Alone 2: Lost in New York > 11-20-1992 | Home Alone 3 > 12-12-1997,Home Alone > 11-16-1990
Die Hard,5,502440899,Live Free or Die Hard > 06-27-2007 | Die Hard 2 > 07-06-1990 | Die Hard with a Vengeance > 05-19-1995 | Die Hard > 07-15-1988 | A Good Day to Die Hard > 02-14-2013,Die Hard > 07-15-1988
Jack Ryan,5,497036395,Clear and Present Danger > 08-05-1994 | The Hunt for Red October > 03-02-1990 | The Sum of All Fears > 05-31-2002 | Patriot Games > 06-05-1992 | Jack Ryan: Shadow Recruit > 01-17-2014,The Hunt for Red October > 03-02-1990
Rush Hour,3,507477118,Rush Hour 2 > 08-03-2001 | Rush Hour > 09-18-1998 | Rush Hour 3 > 08-10-2007,Rush Hour > 09-18-1998
Saw,10,530791660,Saw II > 10-28-2005 | Saw III > 10-27-2006 | Saw IV > 10-26-2007 | Saw V > 10-24-2008 | Saw > 10-29-2004 | Saw X > 09-29-2023 | Saw 3D > 10-29-2010 | Jigsaw > 10-27-2017 | Saw VI > 10-23-2009 | Spiral > 05-14-2021,Saw > 10-29-2004
The Chronicles of Narnia,3,537719397,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe > 12-09-2005 | The Chronicles of Narnia: Prince Caspian > 05-16-2008 | The Chronicles of Narnia: The Voyage of the Dawn Treader > 12-10-2010","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe > 12-09-2005"
The Secret Life of Pets,2,527604110,The Secret Life of Pets > 07-08-2016 | The Secret Life of Pets 2 > 06-07-2019,The Secret Life of Pets > 07-08-2016
Planet of the Apes (2011-2017),3,532185936,Dawn of the Planet of the Apes > 07-11-2014 | Rise of the Planet of the Apes > 08-05-2011 | War for the Planet of the Apes > 07-14-2017,Rise of the Planet of the Apes > 08-05-2011
Lethal Weapon,4,487637243,Lethal Weapon 2 > 07-07-1989 | Lethal Weapon 3 > 05-15-1992 | Lethal Weapon 4 > 07-10-1998 | Lethal Weapon > 03-06-1987,Lethal Weapon > 03-06-1987
Night at the Museum,3,541853610,Night at the Museum > 12-22-2006 | Night at the Museum: Battle of the Smithsonian > 05-22-2009 | Night at the Museum: Secret of the Tomb > 12-19-2014,Night at the Museum > 12-22-2006
It,2,539074976,It > 09-08-2017 | It Chapter Two > 09-06-2019,It > 09-08-2017
How to Train Your Dragon,3,555383660,How to Train Your Dragon > 03-26-2010 | How to Train Your Dragon 2 > 06-13-2014 | How to Train Your Dragon: The Hidden World > 02-22-2019,How to Train Your Dragon > 03-26-2010
The Mummy,4,551074776,The Mummy Returns > 05-04-2001 | The Mummy > 05-07-1999 | The Mummy: Tomb of the Dragon Emperor > 08-01-2008 | The Scorpion King > 04-19-2002,The Mummy > 05-07-1999
"Monsters, Inc.",2,524366014,"Monsters University > 06-21-2013 | Monsters, Inc. > 11-02-2001","Monsters, Inc. > 11-02-2001"
Ocean's 11,4,566334865,Ocean's Eleven > 12-07-2001 | Ocean's Eight > 06-08-2018 | Ocean's Twelve > 12-10-2004 | Ocean's Thirteen > 06-08-2007,Ocean's Eleven > 12-07-2001
Cars,3,588436493,Cars > 06-09-2006 | Cars 2 > 06-24-2011 | Cars 3 > 06-16-2017,Cars > 06-09-2006
Fockers,3,593943805,Meet the Fockers > 12-22-2004 | Meet the Parents > 10-06-2000 | Little Fockers > 12-22-2010,Meet the Parents > 10-06-2000
Bad Boys,4,604293929,Bad Boys for Life > 01-17-2020 | Bad Boys: Ride or Die > 06-07-2024 | Bad Boys II > 07-18-2003 | Bad Boys > 04-07-1995,Bad Boys > 04-07-1995
Madea,9,569724218,Madea Goes to Jail > 02-20-2009 | A Madea Family Funeral > 03-01-2019 | Boo! A Madea Halloween > 10-21-2016 | Madea's Witness Protection > 06-29-2012 | Madea's Family Reunion > 02-24-2006 | Madea's Big Happy Family > 04-22-2011 | A Madea Christmas > 12-13-2013 | Diary of a Mad Black Woman > 02-25-2005 | Boo 2! A Madea Halloween > 10-20-2017,Diary of a Mad Black Woman > 02-25-2005
Halloween,13,623946675,Halloween > 10-19-2018 | Halloween Kills > 10-15-2021 | Halloween Ends > 10-14-2022 | Halloween > 08-31-2007 | Halloween H20: 20 Years Later > 08-07-1998 | Halloween > 10-25-1978 | Halloween II > 08-28-2009 | Halloween: Resurrection > 07-12-2002 | Halloween II > 10-30-1981 | Halloween 4: The Return of Michael Myers > 10-21-1988 | Halloween: The Curse of Michael Myers > 09-29-1995 | Halloween III: Season of the Witch > 10-22-1982 | Halloween 5: The Revenge of Michael Myers > 10-13-1989,Halloween > 10-25-1978
The Hangover,3,643986880,The Hangover > 06-05-2009 | The Hangover Part II > 05-26-2011 | The Hangover Part III > 05-23-2013,The Hangover > 06-05-2009
